Keyword,AMZ Search Volume,Google Search Volume,Google CPC,Google Competition,Amazon_Search_URL,Product_count,Product_url
back to school s,89771,0.0,0.00,Low,https://www.amazon.com/s?k=back+to+school+s&page=1,30000,https://www.amazon.com/s?k=back+to+school+s&page=1
guest book book,89565,22200.0,2.18,High,https://www.amazon.com/s?k=guest+book+book&page=1,60000,https://www.amazon.com/s?k=guest+book+book&page=1
pocket notebook,89374,0.0,0.00,Low,https://www.amazon.com/s?k=pocket+notebook&page=1,9000,https://www.amazon.com/s?k=pocket+notebook&page=1
academic planner,91368,14800.0,3.06,High,https://www.amazon.com/s?k=academic+planner&page=1,3000,https://www.amazon.com/s?k=academic+planner&page=1
fitness tracker,89541,0.0,0.00,Low,https://www.amazon.com/s?k=fitness+tracker&page=1,7000,https://www.amazon.com/s?k=fitness+tracker&page=1
colorings books,88054,0.0,0.00,Low,https://www.amazon.com/s?k=colorings+books&page=1,70000,https://www.amazon.com/s?k=colorings+books&page=1
bcw comic book bags,93109,40.0,0.76,High,https://www.amazon.com/s?k=bcw+comic+book+bags&page=1,452,https://www.amazon.com/s?k=bcw+comic+book+bags&page=1
guest book wedding,92458,6600.0,3.03,High,https://www.amazon.com/s?k=guest+book+wedding&page=1,2000,https://www.amazon.com/s?k=guest+book+wedding&page=1
budgets planner,87905,480.0,2.18,High,https://www.amazon.com/s?k=budgets+planner&page=1,5000,https://www.amazon.com/s?k=budgets+planner&page=1
prayer journals,89504,0.0,0.00,Low,https://www.amazon.com/s?k=prayer+journals&page=1,10000,https://www.amazon.com/s?k=prayer+journals&page=1
puzzle book adult,91147,0.0,0.00,Low,https://www.amazon.com/s?k=puzzle+book+adult&page=1,40000,https://www.amazon.com/s?k=puzzle+book+adult&page=1
prayer journal,87698,0.0,0.00,Low,https://www.amazon.com/s?k=prayer+journal&page=1,10000,https://www.amazon.com/s?k=prayer+journal&page=1
abc toddlers 1-3,91290,0.0,0.00,Low,https://www.amazon.com/s?k=abc+toddlers+1-3&page=1,20000,https://www.amazon.com/s?k=abc+toddlers+1-3&page=1
calendars 2022,86174,0.0,0.00,Low,https://www.amazon.com/s?k=calendars+2022&page=1,10000,https://www.amazon.com/s?k=calendars+2022&page=1
admin calendar,86098,590.0,0.00,High,https://www.amazon.com/s?k=admin+calendar&page=1,189,https://www.amazon.com/s?k=admin+calendar&page=1
cgc comic book,85917,110.0,0.87,High,https://www.amazon.com/s?k=cgc+comic+book&page=1,390,https://www.amazon.com/s?k=cgc+comic+book&page=1
pocket notebooks,89881,12100.0,1.08,High,https://www.amazon.com/s?k=pocket+notebooks&page=1,9000,https://www.amazon.com/s?k=pocket+notebooks&page=1
family calendar,87978,12100.0,2.32,High,https://www.amazon.com/s?k=family+calendar&page=1,5000,https://www.amazon.com/s?k=family+calendar&page=1
fitnes tracker,87533,90500.0,1.46,High,https://www.amazon.com/s?k=fitnes+tracker&page=1,96,https://www.amazon.com/s?k=fitnes+tracker&page=1
habit tracker,83735,74000.0,0.80,High,https://www.amazon.com/s?k=habit+tracker&page=1,1000,https://www.amazon.com/s?k=habit+tracker&page=1
