Keyword,AMZ Search Volume,Google Search Volume,Google CPC,Google Competition,Amazon_Search_URL,Product_count,Product_url
spiral notebook 5x7 with pockets,4899,0.0,0.00,Low,https://www.amazon.com/s?k=spiral+notebook+5x7+with+pockets&page=1,2000,https://www.amazon.com/s?k=spiral+notebook+5x7+with+pockets&page=1
1 planner,4864,90.0,1.09,High,https://www.amazon.com/s?k=1+planner&page=1,40000,https://www.amazon.com/s?k=1+planner&page=1
spiral notebook 5 subject with pockets,4899,0.0,0.00,Low,https://www.amazon.com/s?k=spiral+notebook+5+subject+with+pockets&page=1,1000,https://www.amazon.com/s?k=spiral+notebook+5+subject+with+pockets&page=1
goal log book,4826,0.0,0.00,Low,https://www.amazon.com/s?k=goal+log+book&page=1,2000,https://www.amazon.com/s?k=goal+log+book&page=1
dunes journal,4824,0.0,0.00,Low,https://www.amazon.com/s?k=dunes+journal&page=1,138,https://www.amazon.com/s?k=dunes+journal&page=1
basic planner,4820,140.0,1.43,High,https://www.amazon.com/s?k=basic+planner&page=1,1000,https://www.amazon.com/s?k=basic+planner&page=1
faith journal,4824,720.0,1.16,High,https://www.amazon.com/s?k=faith+journal&page=1,10000,https://www.amazon.com/s?k=faith+journal&page=1
trace writing,4820,0.0,0.00,Low,https://www.amazon.com/s?k=trace+writing&page=1,30000,https://www.amazon.com/s?k=trace+writing&page=1
activities for kids ages 4-8 girls,4985,0.0,0.00,Low,https://www.amazon.com/s?k=activities+for+kids+ages+4-8+girls&page=1,20000,https://www.amazon.com/s?k=activities+for+kids+ages+4-8+girls&page=1
camp log book,4819,140.0,0.57,High,https://www.amazon.com/s?k=camp+log+book&page=1,5000,https://www.amazon.com/s?k=camp+log+book&page=1
spell tracker,4818,260.0,0.14,High,https://www.amazon.com/s?k=spell+tracker&page=1,876,https://www.amazon.com/s?k=spell+tracker&page=1
trace letters,4820,0.0,0.00,Low,https://www.amazon.com/s?k=trace+letters&page=1,3000,https://www.amazon.com/s?k=trace+letters&page=1
field journal,4823,1300.0,0.97,High,https://www.amazon.com/s?k=field+journal&page=1,2000,https://www.amazon.com/s?k=field+journal&page=1
bill log book,4820,0.0,0.00,Low,https://www.amazon.com/s?k=bill+log+book&page=1,10000,https://www.amazon.com/s?k=bill+log+book&page=1
gifts journal,4818,170.0,1.90,High,https://www.amazon.com/s?k=gifts+journal&page=1,100000,https://www.amazon.com/s?k=gifts+journal&page=1
kids ages 4-8,4815,0.0,0.00,Low,https://www.amazon.com/s?k=kids+ages+4-8&page=1,4000,https://www.amazon.com/s?k=kids+ages+4-8&page=1
book log book,4815,20.0,0.73,High,https://www.amazon.com/s?k=book+log+book&page=1,70000,https://www.amazon.com/s?k=book+log+book&page=1
abc trace,4955,0.0,0.00,Low,https://www.amazon.com/s?k=abc+trace&page=1,2000,https://www.amazon.com/s?k=abc+trace&page=1
hive trackers,4815,0.0,0.00,Low,https://www.amazon.com/s?k=hive+trackers&page=1,3000,https://www.amazon.com/s?k=hive+trackers&page=1
boat log book,4826,390.0,1.01,High,https://www.amazon.com/s?k=boat+log+book&page=1,533,https://www.amazon.com/s?k=boat+log+book&page=1
goat log book,4825,0.0,0.00,Low,https://www.amazon.com/s?k=goat+log+book&page=1,345,https://www.amazon.com/s?k=goat+log+book&page=1
drone tracker,4826,2400.0,1.79,High,https://www.amazon.com/s?k=drone+tracker&page=1,210,https://www.amazon.com/s?k=drone+tracker&page=1
faith planner,4826,480.0,0.91,High,https://www.amazon.com/s?k=faith+planner&page=1,777,https://www.amazon.com/s?k=faith+planner&page=1
lunar planner,4812,140.0,1.05,High,https://www.amazon.com/s?k=lunar+planner&page=1,1000,https://www.amazon.com/s?k=lunar+planner&page=1
trace with me,4816,0.0,0.00,Low,https://www.amazon.com/s?k=trace+with+me&page=1,1000,https://www.amazon.com/s?k=trace+with+me&page=1
gift log book,4820,50.0,1.24,High,https://www.amazon.com/s?k=gift+log+book&page=1,20000,https://www.amazon.com/s?k=gift+log+book&page=1
pink journals,4813,0.0,0.00,Low,https://www.amazon.com/s?k=pink+journals&page=1,4000,https://www.amazon.com/s?k=pink+journals&page=1
score tracker,4811,1900.0,3.68,High,https://www.amazon.com/s?k=score+tracker&page=1,593,https://www.amazon.com/s?k=score+tracker&page=1
drunk journal,4812,10.0,0.26,High,https://www.amazon.com/s?k=drunk+journal&page=1,207,https://www.amazon.com/s?k=drunk+journal&page=1
poop log book,4823,110.0,0.25,High,https://www.amazon.com/s?k=poop+log+book&page=1,222,https://www.amazon.com/s?k=poop+log+book&page=1
emoji journal,4812,720.0,0.66,High,https://www.amazon.com/s?k=emoji+journal&page=1,6000,https://www.amazon.com/s?k=emoji+journal&page=1
puzzled books,4814,0.0,0.00,Low,https://www.amazon.com/s?k=puzzled+books&page=1,1000,https://www.amazon.com/s?k=puzzled+books&page=1
bound planner,4811,140.0,2.41,High,https://www.amazon.com/s?k=bound+planner&page=1,3000,https://www.amazon.com/s?k=bound+planner&page=1
chibi journal,4810,0.0,0.00,Low,https://www.amazon.com/s?k=chibi+journal&page=1,329,https://www.amazon.com/s?k=chibi+journal&page=1
chore tracker,4811,480.0,2.73,High,https://www.amazon.com/s?k=chore+tracker&page=1,833,https://www.amazon.com/s?k=chore+tracker&page=1
mood calendar,4810,1000.0,0.48,High,https://www.amazon.com/s?k=mood+calendar&page=1,1000,https://www.amazon.com/s?k=mood+calendar&page=1
alien journal,4743,50.0,0.24,High,https://www.amazon.com/s?k=alien+journal&page=1,595,https://www.amazon.com/s?k=alien+journal&page=1
taxes tracker,4810,0.0,0.00,Low,https://www.amazon.com/s?k=taxes+tracker&page=1,999,https://www.amazon.com/s?k=taxes+tracker&page=1
ship log book,4824,260.0,1.08,High,https://www.amazon.com/s?k=ship+log+book&page=1,1000,https://www.amazon.com/s?k=ship+log+book&page=1
bird log book,4742,50.0,0.85,High,https://www.amazon.com/s?k=bird+log+book&page=1,5000,https://www.amazon.com/s?k=bird+log+book&page=1
email journal,4811,320.0,57.66,High,https://www.amazon.com/s?k=email+journal&page=1,1000,https://www.amazon.com/s?k=email+journal&page=1
media planner,4741,5400.0,2.14,High,https://www.amazon.com/s?k=media+planner&page=1,40000,https://www.amazon.com/s?k=media+planner&page=1
pre k tracing,4813,0.0,0.00,Low,https://www.amazon.com/s?k=pre+k+tracing&page=1,2000,https://www.amazon.com/s?k=pre+k+tracing&page=1
fish log book,4812,30.0,0.35,High,https://www.amazon.com/s?k=fish+log+book&page=1,3000,https://www.amazon.com/s?k=fish+log+book&page=1
bank log book,4742,20.0,1.01,High,https://www.amazon.com/s?k=bank+log+book&page=1,916,https://www.amazon.com/s?k=bank+log+book&page=1
goat calendar,4741,260.0,0.34,High,https://www.amazon.com/s?k=goat+calendar&page=1,844,https://www.amazon.com/s?k=goat+calendar&page=1
sex calendars,4740,0.0,0.00,Low,https://www.amazon.com/s?k=sex+calendars&page=1,5000,https://www.amazon.com/s?k=sex+calendars&page=1
salah tracker,4742,590.0,0.24,High,https://www.amazon.com/s?k=salah+tracker&page=1,1000,https://www.amazon.com/s?k=salah+tracker&page=1
mom's planner,4740,0.0,0.00,Low,https://www.amazon.com/s?k=mom's+planner&page=1,10000,https://www.amazon.com/s?k=mom's+planner&page=1
decomposition notebook,4800,0.25,"5,000.00",,https://www.amazon.com/s?k=decomposition+notebook&page=1,739,https://www.amazon.com/s?k=decomposition+notebook&page=1
goth calendar,4741,0.0,0.00,Low,https://www.amazon.com/s?k=goth+calendar&page=1,228,https://www.amazon.com/s?k=goth+calendar&page=1
trace drawing,4741,0.0,0.00,Low,https://www.amazon.com/s?k=trace+drawing&page=1,1000,https://www.amazon.com/s?k=trace+drawing&page=1
lupus tracker,4821,20.0,0.11,High,https://www.amazon.com/s?k=lupus+tracker&page=1,889,https://www.amazon.com/s?k=lupus+tracker&page=1
funny journal,4818,0.0,0.00,Low,https://www.amazon.com/s?k=funny+journal&page=1,20000,https://www.amazon.com/s?k=funny+journal&page=1
aries planner,4739,10.0,0.72,High,https://www.amazon.com/s?k=aries+planner&page=1,2000,https://www.amazon.com/s?k=aries+planner&page=1
lift log book,4737,70.0,0.98,High,https://www.amazon.com/s?k=lift+log+book&page=1,3000,https://www.amazon.com/s?k=lift+log+book&page=1
grade tracker,4739,0.0,0.00,Low,https://www.amazon.com/s?k=grade+tracker&page=1,2000,https://www.amazon.com/s?k=grade+tracker&page=1
gamer journal,4741,0.0,0.00,Low,https://www.amazon.com/s?k=gamer+journal&page=1,60000,https://www.amazon.com/s?k=gamer+journal&page=1
books puzzles,4741,0.0,0.00,Low,https://www.amazon.com/s?k=books+puzzles&page=1,70000,https://www.amazon.com/s?k=books+puzzles&page=1
5year planner,4810,1000.0,1.25,High,https://www.amazon.com/s?k=5year+planner&page=1,3000,https://www.amazon.com/s?k=5year+planner&page=1
adhd log book,4738,0.0,0.00,Low,https://www.amazon.com/s?k=adhd+log+book&page=1,731,https://www.amazon.com/s?k=adhd+log+book&page=1
fall journals,4735,140.0,0.79,High,https://www.amazon.com/s?k=fall+journals&page=1,5000,https://www.amazon.com/s?k=fall+journals&page=1
sale log book,4735,0.0,0.00,Low,https://www.amazon.com/s?k=sale+log+book&page=1,70000,https://www.amazon.com/s?k=sale+log+book&page=1
boss planners,4736,0.0,0.00,Low,https://www.amazon.com/s?k=boss+planners&page=1,4000,https://www.amazon.com/s?k=boss+planners&page=1
trace numbers,4734,0.0,0.00,Low,https://www.amazon.com/s?k=trace+numbers&page=1,2000,https://www.amazon.com/s?k=trace+numbers&page=1
moods tracker,4810,260.0,0.47,High,https://www.amazon.com/s?k=moods+tracker&page=1,2000,https://www.amazon.com/s?k=moods+tracker&page=1
debit tracker,4739,40.0,0.00,High,https://www.amazon.com/s?k=debit+tracker&page=1,545,https://www.amazon.com/s?k=debit+tracker&page=1
race log book,4737,0.0,0.00,Low,https://www.amazon.com/s?k=race+log+book&page=1,8000,https://www.amazon.com/s?k=race+log+book&page=1
fears journal,4734,0.0,0.00,Low,https://www.amazon.com/s?k=fears+journal&page=1,4000,https://www.amazon.com/s?k=fears+journal&page=1
pilot logbook,4738,5400.0,2.19,High,https://www.amazon.com/s?k=pilot+logbook&page=1,593,https://www.amazon.com/s?k=pilot+logbook&page=1
artsy journal,4733,40.0,1.34,High,https://www.amazon.com/s?k=artsy+journal&page=1,10000,https://www.amazon.com/s?k=artsy+journal&page=1
meals planner,4811,0.0,0.00,Low,https://www.amazon.com/s?k=meals+planner&page=1,10000,https://www.amazon.com/s?k=meals+planner&page=1
hours tracker,4733,4400.0,12.41,High,https://www.amazon.com/s?k=hours+tracker&page=1,3000,https://www.amazon.com/s?k=hours+tracker&page=1
duty log book,4732,260.0,0.55,High,https://www.amazon.com/s?k=duty+log+book&page=1,1000,https://www.amazon.com/s?k=duty+log+book&page=1
chic journals,4729,50.0,4.02,High,https://www.amazon.com/s?k=chic+journals&page=1,20000,https://www.amazon.com/s?k=chic+journals&page=1
5year journal,4732,6600.0,1.33,High,https://www.amazon.com/s?k=5year+journal&page=1,978,https://www.amazon.com/s?k=5year+journal&page=1
cares journal,4729,0.0,0.00,Low,https://www.amazon.com/s?k=cares+journal&page=1,20000,https://www.amazon.com/s?k=cares+journal&page=1
brew log book,4730,30.0,0.72,High,https://www.amazon.com/s?k=brew+log+book&page=1,7000,https://www.amazon.com/s?k=brew+log+book&page=1
goals tracker,4741,0.0,0.00,Low,https://www.amazon.com/s?k=goals+tracker&page=1,3000,https://www.amazon.com/s?k=goals+tracker&page=1
fairy journal,4737,0.0,0.00,Low,https://www.amazon.com/s?k=fairy+journal&page=1,1000,https://www.amazon.com/s?k=fairy+journal&page=1
book planners,4731,0.0,0.00,Low,https://www.amazon.com/s?k=book+planners&page=1,70000,https://www.amazon.com/s?k=book+planners&page=1
dream journal,4728,0.0,0.00,Low,https://www.amazon.com/s?k=dream+journal&page=1,10000,https://www.amazon.com/s?k=dream+journal&page=1
sleep tracker,4734,0.0,0.00,Low,https://www.amazon.com/s?k=sleep+tracker&page=1,3000,https://www.amazon.com/s?k=sleep+tracker&page=1
colored pens for coloring books,4567,10.0,1.27,High,https://www.amazon.com/s?k=colored+pens+for+coloring+books&page=1,1000,https://www.amazon.com/s?k=colored+pens+for+coloring+books&page=1
diabetes book,4731,2400.0,0.71,High,https://www.amazon.com/s?k=diabetes+book&page=1,10000,https://www.amazon.com/s?k=diabetes+book&page=1
engineering notebook,4700,1.5,"4,800.00",,https://www.amazon.com/s?k=engineering+notebook&page=1,2000,https://www.amazon.com/s?k=engineering+notebook&page=1
order tracker,4727,90500.0,0.89,High,https://www.amazon.com/s?k=order+tracker&page=1,2000,https://www.amazon.com/s?k=order+tracker&page=1
cute journals for women aesthetic,4490,0.0,0.00,Low,https://www.amazon.com/s?k=cute+journals+for+women+aesthetic&page=1,30000,https://www.amazon.com/s?k=cute+journals+for+women+aesthetic&page=1
bills tracker,4731,0.0,0.00,Low,https://www.amazon.com/s?k=bills+tracker&page=1,1000,https://www.amazon.com/s?k=bills+tracker&page=1
trace of evil,4729,0.0,0.00,Low,https://www.amazon.com/s?k=trace+of+evil&page=1,468,https://www.amazon.com/s?k=trace+of+evil&page=1
film log book,4738,20.0,0.57,High,https://www.amazon.com/s?k=film+log+book&page=1,10000,https://www.amazon.com/s?k=film+log+book&page=1
color by number coloring books disney,4491,0.0,0.00,Low,https://www.amazon.com/s?k=color+by+number+coloring+books+disney&page=1,2000,https://www.amazon.com/s?k=color+by+number+coloring+books+disney&page=1
easter activities for kids ages 4-8,4489,0.0,0.00,Low,https://www.amazon.com/s?k=easter+activities+for+kids+ages+4-8&page=1,2000,https://www.amazon.com/s?k=easter+activities+for+kids+ages+4-8&page=1
jumbo activity book for kids ages 4-8,4490,0.0,0.00,Low,https://www.amazon.com/s?k=jumbo+activity+book+for+kids+ages+4-8&page=1,20000,https://www.amazon.com/s?k=jumbo+activity+book+for+kids+ages+4-8&page=1
3 subject notebook,4600,0.6,"4,900.00",,https://www.amazon.com/s?k=3+subject+notebook&page=1,1000,https://www.amazon.com/s?k=3+subject+notebook&page=1
dated teacher planners and lesson planner,4486,0.0,0.00,Low,https://www.amazon.com/s?k=dated+teacher+planners+and+lesson+planner&page=1,680,https://www.amazon.com/s?k=dated+teacher+planners+and+lesson+planner&page=1
santa tracker,4568,823000.0,0.11,High,https://www.amazon.com/s?k=santa+tracker&page=1,71,https://www.amazon.com/s?k=santa+tracker&page=1
beauties in fairyland coloring book coloring book for women,4488,0.0,0.00,Low,https://www.amazon.com/s?k=beauties+in+fairyland+coloring+book+coloring+book+for+women&page=1,421,https://www.amazon.com/s?k=beauties+in+fairyland+coloring+book+coloring+book+for+women&page=1
a colorful christmas adult coloring book,4489,0.0,0.00,Low,https://www.amazon.com/s?k=a+colorful+christmas+adult+coloring+book&page=1,3000,https://www.amazon.com/s?k=a+colorful+christmas+adult+coloring+book&page=1
bills planner,4736,0.0,0.00,Low,https://www.amazon.com/s?k=bills+planner&page=1,4000,https://www.amazon.com/s?k=bills+planner&page=1
bilingual books for toddlers 1-3,4490,0.0,0.00,Low,https://www.amazon.com/s?k=bilingual+books+for+toddlers+1-3&page=1,2000,https://www.amazon.com/s?k=bilingual+books+for+toddlers+1-3&page=1
book activities for toddlers 1-3,4485,0.0,0.00,Low,https://www.amazon.com/s?k=book+activities+for+toddlers+1-3&page=1,20000,https://www.amazon.com/s?k=book+activities+for+toddlers+1-3&page=1
dell cryptograms puzzle books for adults,4488,0.0,0,Low,https://www.amazon.com/s?k=dell+cryptograms+puzzle+books+for+adults&page=1,130,https://www.amazon.com/s?k=dell+cryptograms+puzzle+books+for+adults&page=1
mosaic coloring books color by number,4486,0.0,0.00,Low,https://www.amazon.com/s?k=mosaic+coloring+books+color+by+number&page=1,1000,https://www.amazon.com/s?k=mosaic+coloring+books+color+by+number&page=1
quiet activity books for toddlers 1-3,4490,0.0,0.00,Low,https://www.amazon.com/s?k=quiet+activity+books+for+toddlers+1-3&page=1,797,https://www.amazon.com/s?k=quiet+activity+books+for+toddlers+1-3&page=1
4 line notebook for cursive writing,4485,0.0,0,Low,https://www.amazon.com/s?k=4+line+notebook+for+cursive+writing&page=1,2000,https://www.amazon.com/s?k=4+line+notebook+for+cursive+writing&page=1
expenses tracker and bills organizer,4485,0.0,0,Low,https://www.amazon.com/s?k=expenses+tracker+and+bills+organizer&page=1,897,https://www.amazon.com/s?k=expenses+tracker+and+bills+organizer&page=1
2023 cryptograms puzzle book for adults,4486,0.0,0,Low,https://www.amazon.com/s?k=2023+cryptograms+puzzle+book+for+adults&page=1,424,https://www.amazon.com/s?k=2023+cryptograms+puzzle+book+for+adults&page=1
easter activity books for kids ages 4-8,4485,0.0,0.00,Low,https://www.amazon.com/s?k=easter+activity+books+for+kids+ages+4-8&page=1,30000,https://www.amazon.com/s?k=easter+activity+books+for+kids+ages+4-8&page=1
book activities for kids ages 4-8,4485,0.0,0.00,Low,https://www.amazon.com/s?k=book+activities+for+kids+ages+4-8&page=1,30000,https://www.amazon.com/s?k=book+activities+for+kids+ages+4-8&page=1
dots marker coloring sheets toddler,4485,0.0,0.00,Low,https://www.amazon.com/s?k=dots+marker+coloring+sheets+toddler&page=1,458,https://www.amazon.com/s?k=dots+marker+coloring+sheets+toddler&page=1
short ghost stories books for kids,4485,0.0,0.00,Low,https://www.amazon.com/s?k=short+ghost+stories+books+for+kids&page=1,3000,https://www.amazon.com/s?k=short+ghost+stories+books+for+kids&page=1
word scramble,4727,0.0,0,Low,https://www.amazon.com/s?k=word+scramble&page=1,1000,https://www.amazon.com/s?k=word+scramble&page=1
teacher's planner teacher's lesson planner,4486,0.0,0.00,Low,https://www.amazon.com/s?k=teacher's+planner+teacher's+lesson+planner&page=1,10000,https://www.amazon.com/s?k=teacher's+planner+teacher's+lesson+planner&page=1
i spy activity book for kids ages 4-8,4485,0.0,0.00,Low,https://www.amazon.com/s?k=i+spy+activity+book+for+kids+ages+4-8&page=1,844,https://www.amazon.com/s?k=i+spy+activity+book+for+kids+ages+4-8&page=1
math addition and subtraction worksheets,4484,2400.0,0,High,https://www.amazon.com/s?k=math+addition+and+subtraction+worksheets&page=1,4000,https://www.amazon.com/s?k=math+addition+and+subtraction+worksheets&page=1
water activities for toddlers 1-3,4482,0.0,0.00,Low,https://www.amazon.com/s?k=water+activities+for+toddlers+1-3&page=1,4000,https://www.amazon.com/s?k=water+activities+for+toddlers+1-3&page=1
early creative story book for kids,4479,0.0,0.00,Low,https://www.amazon.com/s?k=early+creative+story+book+for+kids&page=1,2000,https://www.amazon.com/s?k=early+creative+story+book+for+kids&page=1
easy cryptograms puzzle books for adults large print,4481,0.0,0,Low,https://www.amazon.com/s?k=easy+cryptograms+puzzle+books+for+adults+large+print&page=1,1000,https://www.amazon.com/s?k=easy+cryptograms+puzzle+books+for+adults+large+print&page=1
fuel log book,4727,320.0,1.06,High,https://www.amazon.com/s?k=fuel+log+book&page=1,380,https://www.amazon.com/s?k=fuel+log+book&page=1
your mothers story journal piccadilly,4484,0.0,0.00,Low,https://www.amazon.com/s?k=your+mothers+story+journal+piccadilly&page=1,89,https://www.amazon.com/s?k=your+mothers+story+journal+piccadilly&page=1
diet journal for women 2022 daily planner,4478,0.0,0.00,Low,https://www.amazon.com/s?k=diet+journal+for+women+2022+daily+planner&page=1,308,https://www.amazon.com/s?k=diet+journal+for+women+2022+daily+planner&page=1
five subject notebook with pockets,4477,110.0,0.82,High,https://www.amazon.com/s?k=five+subject+notebook+with+pockets&page=1,839,https://www.amazon.com/s?k=five+subject+notebook+with+pockets&page=1
2022 cryptograms puzzle book for adults,4482,0.0,0,Low,https://www.amazon.com/s?k=2022+cryptograms+puzzle+book+for+adults&page=1,426,https://www.amazon.com/s?k=2022+cryptograms+puzzle+book+for+adults&page=1
easter activity book for kids age 4-8,4480,0.0,0.00,Low,https://www.amazon.com/s?k=easter+activity+book+for+kids+age+4-8&page=1,30000,https://www.amazon.com/s?k=easter+activity+book+for+kids+age+4-8&page=1
wyze planner goal setting planner,4481,0.0,0.00,Low,https://www.amazon.com/s?k=wyze+planner+goal+setting+planner&page=1,79,https://www.amazon.com/s?k=wyze+planner+goal+setting+planner&page=1
cute primary composition notebook,4477,0.0,0.00,Low,https://www.amazon.com/s?k=cute+primary+composition+notebook&page=1,50000,https://www.amazon.com/s?k=cute+primary+composition+notebook&page=1
cute wide ruled composition notebooks,4477,0.0,0.00,Low,https://www.amazon.com/s?k=cute+wide+ruled+composition+notebooks&page=1,8000,https://www.amazon.com/s?k=cute+wide+ruled+composition+notebooks&page=1
color art coloring book for adults,4490,20.0,0.53,High,https://www.amazon.com/s?k=color+art+coloring+book+for+adults&page=1,60000,https://www.amazon.com/s?k=color+art+coloring+book+for+adults&page=1
space activities for kids ages 4-8,4477,0.0,0.00,Low,https://www.amazon.com/s?k=space+activities+for+kids+ages+4-8&page=1,10000,https://www.amazon.com/s?k=space+activities+for+kids+ages+4-8&page=1
live a colorful life coloring book,4478,10.0,0.27,High,https://www.amazon.com/s?k=live+a+colorful+life+coloring+book&page=1,309,https://www.amazon.com/s?k=live+a+colorful+life+coloring+book&page=1
true self test log booklet for diabetes,4477,0.0,0.00,Low,https://www.amazon.com/s?k=true+self+test+log+booklet+for+diabetes&page=1,56,https://www.amazon.com/s?k=true+self+test+log+booklet+for+diabetes&page=1
abc dot markers activity book for kids,4481,0.0,0.00,Low,https://www.amazon.com/s?k=abc+dot+markers+activity+book+for+kids&page=1,3000,https://www.amazon.com/s?k=abc+dot+markers+activity+book+for+kids&page=1
elvis calendar 2022 wall calendar,4477,0.0,0.00,Low,https://www.amazon.com/s?k=elvis+calendar+2022+wall+calendar&page=1,62,https://www.amazon.com/s?k=elvis+calendar+2022+wall+calendar&page=1
activities for kids ages 4-8,4454,0.0,0.00,Low,https://www.amazon.com/s?k=activities+for+kids+ages+4-8&page=1,10000,https://www.amazon.com/s?k=activities+for+kids+ages+4-8&page=1
focus activities for kids ages 4-8,4478,0.0,0.00,Low,https://www.amazon.com/s?k=focus+activities+for+kids+ages+4-8&page=1,5000,https://www.amazon.com/s?k=focus+activities+for+kids+ages+4-8&page=1
cute journals for journaling aesthetic,4478,0.0,0.00,Low,https://www.amazon.com/s?k=cute+journals+for+journaling+aesthetic&page=1,9000,https://www.amazon.com/s?k=cute+journals+for+journaling+aesthetic&page=1
color it mandala coloring book,4452,0.0,0.00,Low,https://www.amazon.com/s?k=color+it+mandala+coloring+book&page=1,1000,https://www.amazon.com/s?k=color+it+mandala+coloring+book&page=1
color and frame adult coloring book,4478,0.0,0.00,Low,https://www.amazon.com/s?k=color+and+frame+adult+coloring+book&page=1,1000,https://www.amazon.com/s?k=color+and+frame+adult+coloring+book&page=1
activity books kids ages 4-8,4451,0.0,0.00,Low,https://www.amazon.com/s?k=activity+books+kids+ages+4-8&page=1,40000,https://www.amazon.com/s?k=activity+books+kids+ages+4-8&page=1
bouncy unicorn for toddlers 1-3,4458,0.0,0.00,Low,https://www.amazon.com/s?k=bouncy+unicorn+for+toddlers+1-3&page=1,127,https://www.amazon.com/s?k=bouncy+unicorn+for+toddlers+1-3&page=1
spiral 3 subject notebook with pockets,4483,0.0,0.00,Low,https://www.amazon.com/s?k=spiral+3+subject+notebook+with+pockets&page=1,1000,https://www.amazon.com/s?k=spiral+3+subject+notebook+with+pockets&page=1
activity cube for toddlers 1-3,4456,0.0,0.00,Low,https://www.amazon.com/s?k=activity+cube+for+toddlers+1-3&page=1,974,https://www.amazon.com/s?k=activity+cube+for+toddlers+1-3&page=1
palmer method cursive writing,4449,50.0,0,High,https://www.amazon.com/s?k=palmer+method+cursive+writing&page=1,229,https://www.amazon.com/s?k=palmer+method+cursive+writing&page=1
number puzzles for toddlers 1-3,4454,0.0,0.00,Low,https://www.amazon.com/s?k=number+puzzles+for+toddlers+1-3&page=1,1000,https://www.amazon.com/s?k=number+puzzles+for+toddlers+1-3&page=1
summer activities for kids 9-12,4448,0.0,0.00,Low,https://www.amazon.com/s?k=summer+activities+for+kids+9-12&page=1,1000,https://www.amazon.com/s?k=summer+activities+for+kids+9-12&page=1
cloth activity books for toddlers 1-3,4480,0.0,0.00,Low,https://www.amazon.com/s?k=cloth+activity+books+for+toddlers+1-3&page=1,1000,https://www.amazon.com/s?k=cloth+activity+books+for+toddlers+1-3&page=1
dennis the menace comic books,4445,0.0,0.00,Low,https://www.amazon.com/s?k=dennis+the+menace+comic+books&page=1,401,https://www.amazon.com/s?k=dennis+the+menace+comic+books&page=1
quiet activity for toddlers 1-3,4453,0.0,0.00,Low,https://www.amazon.com/s?k=quiet+activity+for+toddlers+1-3&page=1,1000,https://www.amazon.com/s?k=quiet+activity+for+toddlers+1-3&page=1
poop guest book nonsense books,4444,0.0,0.00,Low,https://www.amazon.com/s?k=poop+guest+book+nonsense+books&page=1,4,https://www.amazon.com/s?k=poop+guest+book+nonsense+books&page=1
autism toys for toddlers 1-3,4445,0.0,0.00,Low,https://www.amazon.com/s?k=autism+toys+for+toddlers+1-3&page=1,6000,https://www.amazon.com/s?k=autism+toys+for+toddlers+1-3&page=1
vtech activity table for toddlers 1-3,4478,0.0,0.00,Low,https://www.amazon.com/s?k=vtech+activity+table+for+toddlers+1-3&page=1,970,https://www.amazon.com/s?k=vtech+activity+table+for+toddlers+1-3&page=1
boss planner,4428,260.0,0.99,High,https://www.amazon.com/s?k=boss+planner&page=1,896,https://www.amazon.com/s?k=boss+planner&page=1
story writing books for kids,4452,0.0,0.00,Low,https://www.amazon.com/s?k=story+writing+books+for+kids&page=1,60000,https://www.amazon.com/s?k=story+writing+books+for+kids&page=1
activities for kids ages 8-12,4451,0.0,0.00,Low,https://www.amazon.com/s?k=activities+for+kids+ages+8-12&page=1,3000,https://www.amazon.com/s?k=activities+for+kids+ages+8-12&page=1
2022 missing vowels large print,4459,0.0,0,Low,https://www.amazon.com/s?k=2022+missing+vowels+large+print&page=1,71,https://www.amazon.com/s?k=2022+missing+vowels+large+print&page=1
count books for toddlers 1-3,4451,0.0,0.00,Low,https://www.amazon.com/s?k=count+books+for+toddlers+1-3&page=1,3000,https://www.amazon.com/s?k=count+books+for+toddlers+1-3&page=1
pink journal with lock and key,4446,0.0,0.00,Low,https://www.amazon.com/s?k=pink+journal+with+lock+and+key&page=1,182,https://www.amazon.com/s?k=pink+journal+with+lock+and+key&page=1
kanji writing practice notebook,4444,0.0,0,Low,https://www.amazon.com/s?k=kanji+writing+practice+notebook&page=1,10000,https://www.amazon.com/s?k=kanji+writing+practice+notebook&page=1
afro planner,4427,0.0,0.00,Low,https://www.amazon.com/s?k=afro+planner&page=1,559,https://www.amazon.com/s?k=afro+planner&page=1
call tracker,4427,18100.0,4.55,High,https://www.amazon.com/s?k=call+tracker&page=1,3000,https://www.amazon.com/s?k=call+tracker&page=1
dino dot markers activity book,4447,0.0,0.00,Low,https://www.amazon.com/s?k=dino+dot+markers+activity+book&page=1,121,https://www.amazon.com/s?k=dino+dot+markers+activity+book&page=1
log in books,4423,0.0,0.00,Low,https://www.amazon.com/s?k=log+in+books&page=1,100000,https://www.amazon.com/s?k=log+in+books&page=1
sketch. book,4428,0.0,0.00,Low,https://www.amazon.com/s?k=sketch.+book&page=1,70000,https://www.amazon.com/s?k=sketch.+book&page=1
boy calendar,4426,0.0,0.00,Low,https://www.amazon.com/s?k=boy+calendar&page=1,8000,https://www.amazon.com/s?k=boy+calendar&page=1
bills tracker monthly log book,4447,0.0,0,Low,https://www.amazon.com/s?k=bills+tracker+monthly+log+book&page=1,1000,https://www.amazon.com/s?k=bills+tracker+monthly+log+book&page=1
moon planner,4428,480.0,0.90,High,https://www.amazon.com/s?k=moon+planner&page=1,2000,https://www.amazon.com/s?k=moon+planner&page=1
