Name,Short Description,Description,Regular Price,Sale Price,Categories,Images
Top 4 Colorful Foliage House Plants for Indoor Decoration,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>",<li>You get unique and beautiful different colored foliage plants in single pack.</li><li>Plants in this pack are easy to care and requires minimum care.</li><li>Plants in this pack are known for their unique and eye catching leaf colors</li>,"₹ 1,466","₹ 1,159",Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-top-4-colorful-foliage-house-plants-for-indoor-decoration-16969387147404_600x600.jpg?v=1634230198, https://nurserylive.com/cdn/shop/products/nurserylive-top-4-colorful-foliage-house-plants-for-indoor-decoration-1-598434_600x600.jpg?v=1679751768, "
"Snake Plant, Sansevieria trifasciata, Sansevieria zeylanica - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Best plant for AC rooms, office desk, etc.</li><li>Zero maintenance plant.</li><li>Best indoor plant for low light condition.</li><li>Popular houseplant with wavy cross stripes.</li><li>This snake plant survives in the outer as well as the indoor condition.</li><li>Keep the plant in partial sunlight area.</li><li>Also, keep the plant indoor condition where the bright light is available.</li><li>Use nutrient rich, well drained, well aereted, and porous potting mix. </li><li>Water a plant when the topsoil in pot (5 to 8 cm) feels dry to touch.</li><li> Water thoroughly in the summer and reduce watering for the winter &amp; rainy season.</li><li>Try to water the plants in the morning around 8-10 am.</li><li>Apply fertilize a plant mostly in the spring and early monsoon season.</li><li>Loosen the topsoil without disturbing the roots to the plant can easily uptake the nutrients and moisture. </li><li>When a plant outgrows in current pot, re-pot with fresh potting soil and some fertilizer.</li><li>Do the re-potting late evening and keep the plant in shady area for 2 to 3 days then move the plant to its required light condition.</li><li>Remove dead, infected or damaged plant parts.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Keep the plant in natural indirect bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li>",₹ 540,₹ 459,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-snake-plant-sansevieria-trifasciata-sansevieria-zeylanica-plant_600x600.jpg?v=1635748577, https://nurserylive.com/cdn/shop/products/nurserylive-snake-plant-sansevieria-trifasciata-sansevieria-zeylanica-plant-1-211135_525x700.jpg?v=1679751742, https://nurserylive.com/cdn/shop/products/nurserylive-snake-plant-sansevieria-trifasciata-sansevieria-zeylanica-plant-2-702840_525x700.jpg?v=1679751742, https://nurserylive.com/cdn/shop/products/nurserylive-snake-plant-sansevieria-trifasciata-sansevieria-zeylanica-plant-3-318028_525x700.jpg?v=1679751742, https://nurserylive.com/cdn/shop/products/nurserylive-snake-plant-sansevieria-trifasciata-sansevieria-zeylanica-plant-4-891068_525x700.jpg?v=1679751742, "
"Aglaonema siam aurora, Aglaonema lipstick - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Popular low maintenance plant.</li><li>Plant for AC rooms, office desk, etc.</li><li>Best indoor plant with colored attractive leaves.</li><li>Keep the plant indoor with bright indirect natural light or bright artifical light.</li><li>Protect the plant from direct sunlight as it can cause damage to the foliage.</li><li>The soil should be well drained and fertile for growing aglaonema plant.</li><li>Water the plant when the topsoil (1-2 inch) in pot feels dry to touch.</li><li>Do not overwater the plant.</li><li>Water thoroughly in the summer and reduce watering in winter and rainy season but do not let the plant dry out completely.</li><li>During the main growing season feed the plant with organic fertilizer once a month.</li><li>Loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture easily.</li><li>When a plant outgrows in current pot, re-pot with fresh potting soil and some fertilizer.</li><li>Do the re-potting late evening and keep the plant in shady area for 2 to 3 days and then move the plant in its suitable climatic condition.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not place your plant in bright direct sunlight it can burn the leaves of plant.</li><li>keep away from the AC Vents.</li><li>Do not overwater the plant especially when pot does not have drainage holes.</li><li>Check the moisture in the soil before watering it.</li><li>Poke your finger into the soil, if dry then apply water.</li><li>Keep the plant in indirect light.</li><li>Do not re-pot immediately after receiving it.</li><li>This plant is used for landscaping gardening because of its beautiful variegated leaves</li>",₹ 332,₹ 299,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-aglaonema-siam-aurora-aglaonema-lipstick-plant_600x600.jpg?v=1635938142, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-1-594463_525x700.jpg?v=1679749018, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-2-163140_525x700.jpg?v=1679749018, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-3-680478_525x700.jpg?v=1679749018, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-4-265506_525x700.jpg?v=1679749018, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-5-874624_525x700.jpg?v=1679749018, https://nurserylive.com/cdn/shop/products/nurserylive-aglaonema-siam-aurora-aglaonema-lipstick-plant-in-4-inch-10-cm-black-pot-200526_600x600.jpg?v=1685017885, "
Money Plant Marble Queen - Plant,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Best plant for AC rooms, office desk, etc.</li><li>Popular low maintainence, good luck plant.</li><li>Best for both indoor and outdoor.</li><li>Used in pot as well as in hanging.</li><li><span>Money Plant Marble Queen - Plant</span></li><li><span>4 inch (10 cm) Grower Round Plastic Pot (Black)</span></li><li><span>4.5 inch (11 cm) Ronda No. 1110 Round Plastic Planter (Red)</span></li><li>Natural indirect / artificial bright light is ideal for money plant growth.</li><li>The soil should be well drained and fertile, rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (1-2 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (Feb-May, July-Sept.) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>It makes an excellent container or house plant</li><li>It can also be grown in hanging baskets</li>",₹ 221,₹ 199,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-money-plant-marble-queen-plant_600x600.jpg?v=1634224272, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-queen-plant-1-631992_525x700.jpg?v=1679750630, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-queen-plant-2-895355_525x700.jpg?v=1679750630, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-queen-plant-3_525x700.jpg?v=1662367836, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-queen-plant-4_525x700.jpg?v=1662367836, https://nurserylive.com/cdn/shop/products/plant-money-plant-marble-queen-in-5-inch-13-cm-grower-round-plastic-black-pot-216760_600x600.jpg?v=1685021447, "
Top 5 Cute Succulents,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>You get 5 succulents + 5 Pots in a single pack.</li><li>Plants in this pack are easy to care<br><br><h3>Combo constituents:</h3>
</li><li>Haworthia truncata Green Rose Succulent - Plant<br>
</li><li>Graptopetalum macdougallii, Laxmi Kamal Succulent - Plant</li><li>Aloe juvenna Succulent - Plant</li><li>Crassula Campfire Succulent - Plant</li><li>Graptosedum species Succulent - Plant</li><li><span data-sheets-userformat=""{"" data-sheets-value=""{"" :10497="""" :="""" :0="""" :1="""" :4="""" :2="""" :12="""" inch="""" nursery="""" pot="""" as="""" inner="""">3 inch (8 cm) Grower Round Plastic Pot (Black) - 5</span></li><li><span data-sheets-userformat=""{"" data-sheets-value=""{"" :10497="""" :="""" :0="""" :1="""" :4="""" :2="""" :12="""" inch="""" cm="""" square="""" plastic="""" planter="""" with="""" rounded="""" edges="""">3.3 inch (8 cm) Square Plastic Planter with Rounded Edges (Red) - 1</span></li><li><span data-sheets-value=""{"" :2="""" :="""" inch="""" cm="""" square="""" plastic="""" planter="""" with="""" rounded="""" edges="""">3.3 inch (8 cm) Square Plastic Planter with Rounded Edges (Black) - 1</span></li><li><span data-sheets-userformat=""{"" data-sheets-value=""{"" :10497="""" :="""" :0="""" :1="""" :4="""" :2="""" :12="""" inch="""" cm="""" square="""" plastic="""" planter="""" with="""" rounded="""" edges="""">3.3 inch (8 cm) Square Plastic Planter with Rounded Edges (White) - 1</span></li><li><span data-sheets-value=""{"" :2="""" :="""" inch="""" cm="""" square="""" plastic="""" planter="""" with="""" rounded="""" edges="""">3.3 inch (8 cm) Square Plastic Planter with Rounded Edges (Blue) - 1</span></li><li>
<span>3.3 inch (8 cm) Square Plastic Planter with Rounded Edges (Yellow)-1</span><br><h3>
<br>Special Feature</h3>
<p>The best thing about succulent gardens is that they require little maintenance and look wonderful with almost no effort. If you re wondering how to brighten your place up and have a small garden all year round, then creating one of these is ideal.</p>
</li>","₹ 1,555",₹ 959,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-top-5-cute-succulents_600x600.jpg?v=1634230250, https://nurserylive.com/cdn/shop/products/nurserylive-g-top-5-cute-succulents-1_525x700.jpg?v=1634230248, "
"Rubber Tree, Rubber Plant, Ficus elastica (Small) - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Place the ficus near a window in a room that gets bright morning sunlight.</li><li>Turn the plant occasionally so all the growth does not occur on one side.</li><li>Use nutrient rich, well drained, well aereted, and porous potting mix.</li><li>Water a plant when the topsoil in pot (5 to 8 cm) feels dry to touch.</li><li>Water thoroughly in the summer and reduce watering for the winter &amp; rainy season.</li><li>Try to water the plants in the morning around 8-10 am.</li><li>Apply fertilize a plant mostly in the spring and early monsoon season.</li><li>Loosen the topsoil without disturbing the roots to the plant can easily uptake the nutrients and moisture.</li><li>When a plant outgrows in current pot, re-pot with fresh potting soil and some fertilizer.</li><li>Do the re-potting late evening and keep the plant in shady area for 2 to 3 days then move the plant to its required light condition.</li><li>Remove dead, infected or damaged plant parts.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Keep the plant in natural indirect bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (1-2inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>At least 3-6 hours of preferably morning sunlight a day is ideal for plant to grow well and natural indirect bright light for the rest of the day.</li><li>Before water poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (1-2 inches) feels dry to touch.</li><li>Water thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Keep the plant in natural indirect bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (1-2inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>Day temperature: 15 to 18 degree Celsius</li><li>Night Temperature: 25-degree celsius</li><li>During the main growing season (June-July) feed the plant with organic fertilizer.</li><li>The shiny glossy leaves look great and give a classy look to your interior space</li>",₹ 293,₹ 249,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-plants-rubber-tree-rubber-plant-ficus-elastica-small-plant-16969285337228_600x600.jpg?v=1634227743, https://nurserylive.com/cdn/shop/products/nurserylive-plants-rubber-tree-rubber-plant-ficus-elastica-small-plant-16969285304460_600x600.jpg?v=1634227742, https://nurserylive.com/cdn/shop/products/nurserylive-plants-rubber-tree-rubber-plant-ficus-elastica-small-plant-16969285238924_600x600.jpg?v=1634227740, https://nurserylive.com/cdn/shop/products/nurserylive-rubber-tree-rubber-plant-ficus-elastica-small-plant-2-914211_525x700.jpg?v=1679751052, https://nurserylive.com/cdn/shop/products/nurserylive-rubber-tree-rubber-plant-ficus-elastica-small-plant-819163_600x600.jpg?v=1685457726, "
Low Maintenance Indoor Plants for Home Decoration,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>",<li>These plants are not only easy to maintain but will actually thrive in the fluorescent-light workplace</li><li>They will give oxygen and freshness</li>,₹ 843,₹ 759,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-low-maintenance-indoor-plants-for-home-decoration-16969011855500_600x600.jpg?v=1634223451, https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-low-maintenance-indoor-plants-for-home-decoration-16969011888268_600x600.jpg?v=1634223449, "
"Philodendron Scandens Oxycardium, Heart-Leaf Philodendron - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Place in bright indirect light. Avoid full sun. </li><li>Water regularly during the growing season, but reduce watering in fall to late winter. </li><li>Pinch trailing stems to promote bushier growth.<h3>Philodendron Scandens Oxycardium care</h3>
<p>Philodendron hederaceum is native to Mexico, West Indies and Brazil. The Heartleaf Philodendron is an evergreen vine that thrives in partial shade at moderate temperatures. In tropical regions it can survive outside, however, in most place, it is used strictly as a houseplant. The soil surrounding the Philodendron scandens must be kept moist but not soggy.</p>
<table class=""crm_product_attr_table"" border=""1"">
<tbody><tr>
<td>Sunlight </td>
<td>Bright filtered or indirect light</td>
</tr>
<tr>
<td>Watering </td>
<td>Moderate</td>
</tr>
<tr>
<td>Soil </td>
<td>Sandy soil that drains quickly. Use a soil-based potting mix. </td>
</tr>
<tr>
<td>Temperature </td>
<td>Minimum 15 degrees C</td>
</tr>
<tr>
<td>Fertilizer </td>
<td>Feed every month from during spring and summer especially when new leaves are growing.</td>
</tr>
</tbody></table>
<h3>Philodendron Scandens Oxycardium special feature</h3>
<p>Foliage</p>
<h3>Philodendron Scandens Oxycardium uses</h3>
<div>
<p><b>Ornamental Use:</b></p>
<ul><li>The plant is used as an ornamental plant</li></ul>
</div>
</li><li>The plant is used as an ornamental plant</li>",₹ 291,₹ 259,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-philodendron-scandens-oxycardium-heart-leaf-philodendron-plant-202508_600x600.jpg?v=1679750879, https://nurserylive.com/cdn/shop/products/nurserylive-philodendron-scandens-oxycardium-heart-leaf-philodendron-plant-1-943412_525x700.jpg?v=1679750879, https://nurserylive.com/cdn/shop/products/nurserylive-philodendron-scandens-oxycardium-heart-leaf-philodendron-plant-3-314294_525x700.jpg?v=1679750879, https://nurserylive.com/cdn/shop/products/nurserylive-philodendron-scandens-oxycardium-heart-leaf-philodendron-plant-4-253298_525x700.jpg?v=1679750879, "
Peperomia Magnoliifolia - Succulent Plant,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>If your peperomia plants are wilting, in spite of regular watering, the plant is likely not getting enough oxygen to the roots.</li><li>Keep the peperomia leaves dry and provide good air circulation to prevent diseases.<h3>Peperomia Magnoliifolia care</h3>
<p>It is occurring in all tropical and subtropical regions of the world, though concentrated in Central America and northern South America. A limited number of species (around 17) are found in Africa.Most Peperomia species can be relatively easily propagated from leaf cuttings, similar to the way African violets are propagated. Remove large leaves with their stalks (petioles) and bury in seedling starting soil. Use of a rooting hormone can increase odds of success. Place the cutting in a warm, bright place until new growth emerges.</p>
<table class=""crm_product_attr_table"" border=""1""><tbody>
<tr>
<td>Sunlight</td>
<td>Peperomia do well in light to moderate light, such as found in a northern or east-facing window. They can be easily grown under fluorescent lights.</td>
</tr>
<tr>
<td>Watering</td>
<td>Keep the soil moist during the growing season and provide relatively high humidity through spraying or by setting the pot in a gravel tray.</td>
</tr>
<tr>
<td>Soil</td>
<td>A loose, well-drained, very rich potting mix</td>
</tr>
<tr>
<td>Temperature</td>
<td>Average. Peperomia do well in the relatively cool environment of most homes (although they dislike the dry). Aim for 65 degrees F to 75 degrees F.</td>
</tr>
<tr>
<td>Fertilizer</td>
<td>Fertilize biweekly during the growing season with a diluted liquid fertilizer or use controlled-release fertilizer pellets at the beginning of the growing season.</td>
</tr>
</tbody></table>
<h3>Peperomia Magnoliifolia special feature</h3>
<p>Peperomia Houseplants are easily propagated from leaf cuttings, stem tip cuttings, and plant division. Be sure to allow the cut ends of the leaves or stems being used for propagation to dry out for several hours or overnight before planting them.</p>
<h3>Peperomia Magnoliifolia uses</h3>
<div>
<p><b>Ornamental Use:</b></p>
<ul>
<li>The Peperomia houseplant is an attractive addition to a desk, a table or as a member of your houseplant collection</li>
<li>Peperomia care is not difficult and Peperomia plants have a compact form that lets them occupy a small space wherever you choose to place them</li>
</ul>
</div>
</li><li>The Peperomia houseplant is an attractive addition to a desk, a table or as a member of your houseplant collection</li><li>Peperomia care is not difficult and Peperomia plants have a compact form that lets them occupy a small space wherever you choose to place them</li>",₹ 234,₹ 199,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-peperomia-magnoliifolia-plant_600x600.jpg?v=1634225724, "
Best 3 Indoor Pollution Killer Plants Pack,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>You get 3 plants along with pots, and pebbles in single pack.</li><li>Plants in this pack are easy to care.</li><li>Plants in this pack are known for air purifying ability.<h3>Combo constituents</h3>
<table class=""crm_product_attr_table"" border=""1"">
<tbody><tr>
<th>SrNo</th>
<th>Item name</th>
<th>Qty</th>
</tr>
<tr>
<td>1</td>
<td>Nephrolepis Exaltata Teddy Junior (Green) - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td style=""padding-left:16px;"">5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>2</td>
<td>Peace Lily, Spathiphyllum - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td style=""padding-left:16px;"">5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>3</td>
<td>Syngonium Podophyllum Silver Pearl - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td style=""padding-left:16px;"">5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>4</td>
<td>Super Marble Pebbles (White, Small, Polished) - 50 g</td>
<td>3</td>
</tr>
</tbody></table>
<h3>Special Feature</h3>
<p>Plants make our surrounding less polluted, our mind fresh and helps us fight anxity. Plants in this pack are best to fight pollution surrounding you. Plants in this pack have broad leaves or many leaves and more leaves supply more oxygen to cleanse toxins in air around you.<br> Many studies suggest that keeping plants on working tables / office desks will help to focus and enhance positive feelings. The plants in this pack can be placed indoors at location receiving indirect bright light.</p>
</li>",₹ 843,₹ 759,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-best-3-indoor-pollution-killer-plants-pack-16968630009996_600x600.jpg?v=1634214285, "
"Variegated elephant bush, Jade plant variegated - Succulent Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Symbol of good luck and fortune.</li><li>Best for sunny windows.</li><li>Easy to care and low maintenance plant.</li><li>Its leaves resembles like coin.</li><li>Popular house plant with attractive leaves.</li><li>Natural indirect / artificial bright light is ideal for jade plant growth.</li><li>Soil should be well drain and porus.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (3-4 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (january-march) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Do not apply water on plant leaves.</li><li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (3-4 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>It makes an excellent container or house plant</li>",₹ 374,₹ 299,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-plants-variegated-elephant-bush-jade-plant-variegated-succulent-plant-16969413460108_600x600.jpg?v=1634230728, "
Air Purifying Indoor Plants for Office Desk,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>You get 3 air purifier plants in a single pack.</li><li>These plants have the ability to cleanse the air you breathe and act as anti-pollutants.</li><li>They do not require too much maintenance.</li><li>Offices contain more electronic things, AC, etc produce formaldehyde and other toxins which are very harmful to our health.</li><li>These household plants are all scientist-approved for helping clear airborne toxins.</li><li>They are recommended in the NASA air purifier list.</li>",₹ 773,₹ 659,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-air-purifying-indoor-plants-for-office-desk-16968581709964_600x600.jpg?v=1634213320, https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-air-purifying-indoor-plants-for-office-desk-16968581677196_600x600.jpg?v=1634213319, https://nurserylive.com/cdn/shop/products/nurserylive-plants-air-purifying-indoor-plants-for-office-desk-2-737475_525x700.jpg?v=1679749033, "
"Christmas Cactus, Schlumbergera (Any Color) - Succulent Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Keep them potbound in sandy soil.</li><li>Water only when the soil is completely dry.</li><li>Provide some humidity to the environment.</li><li>Do not worry if some of the buds drop off, it is natural for the plant to lose a few.</li><li>Keep the temperature above 70 F in the daytime, from 55 degrees F to 65 degrees F at night.<h3>Christmas Cactus care</h3>
<p>The Christmas cactus is easily propagated by cutting a short Y-shaped segment from the stem tips. Make certain, however, that the cutting is taken from healthy plant foliage only. Plant the segment approximately a quarter of its length deep in the slightly sandy soil. Moisten evenly and place the cutting in a well-lit area, staying away from any direct sunlight. <br><br>To root cuttings for new plants, cut back shoots from the tips, cut at the second joint of each tip. The cutting should show signs of growth within a few weeks, at which time the plant can be transferred to another container, if desired, with a looser potting soil mix of compost, loam, and sand.</p>
<table class=""crm_product_attr_table"" border=""1""><tbody>
<tr>
<td>Sunlight</td>
<td>Full Sun to Partial Shade</td>
</tr>
<tr>
<td>Watering</td>
<td>Dry to medium</td>
</tr>
<tr>
<td>Soil</td>
<td>Well-drained soil</td>
</tr>
<tr>
<td>Temperature</td>
<td>68 degrees F</td>
</tr>
<tr>
<td>Fertilizer</td>
<td>Apply any organic fertilizer</td>
</tr>
</tbody></table>
<h3>Christmas Cactus special feature</h3>
<p>In its native area, Schlumbergera truncata is grown outdoors as an epiphyte or in rock gardens. In cooler climates, this plant can be grown in baskets or pots for brightly-lit window sills. It is sold primarily around the holiday season as a gift or decorative item.</p>
<h3>Christmas Cactus uses</h3>
<div>
<p><b>Ornamental Use:</b></p>
<ul><li>The plant is used for an ornamental purpose</li></ul>
</div>
</li><li>The plant is used for an ornamental purpose</li>",₹ 487,₹ 399,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-christmas-cactus-schlumbergera-succulent-plant_600x600.jpg?v=1636462531, https://nurserylive.com/cdn/shop/products/nurserylive-christmas-cactus-schlumbergera-succulent-plant-1_782010b3-17bc-4e11-86b9-548715194805-266473_525x700.jpg?v=1679749532, https://nurserylive.com/cdn/shop/products/nurserylive-christmas-cactus-schlumbergera-succulent-plant-1-723302_525x700.jpg?v=1679749533, https://nurserylive.com/cdn/shop/products/nurserylive-christmas-cactus-schlumbergera-succulent-plant-2-203876_525x700.jpg?v=1679749533, https://nurserylive.com/cdn/shop/products/nurserylive-christmas-cactus-schlumbergera-succulent-plant-3-388545_525x700.jpg?v=1679749533, https://nurserylive.com/cdn/shop/products/nurserylive-christmas-cactus-schlumbergera-succulent-plant-4-124814_525x700.jpg?v=1679749533, "
